#JD             RV          err
2459497.34703   -34.055     1.147
2459497.35978   -21.745     1.155
2459497.37253   -29.039     1.250
2459498.46324    63.940     1.208
2459498.47600    62.721     1.159
2459498.48875    69.049     1.169
2459502.53050    22.188     2.426
2459502.54324    13.212     2.223
2459502.55606    14.902     2.245
2459502.56878    33.252     2.292
2459502.58284    30.054     2.340
2459502.59559    28.781     2.489
2459504.34449    -4.871     0.967
2459504.35722     8.683     0.961
2459504.36995   -13.750     1.017
2459504.38269   -10.297     1.028
2459506.35383    12.544     1.434
2459506.36831    10.245     1.566
2459506.38101    15.915     1.546
2459506.39612     2.244     1.707
2459506.40914   -22.679     1.824
2459506.42186    15.379     2.525
2459506.43477    15.822     2.411
2459509.31632   -26.169     1.262
2459509.32902   -30.981     1.323
2459509.34182   -59.830     2.647
2459509.35603   -61.387     1.119
2459509.36876   -54.883     1.168
2459509.38148   -44.082     1.220
2459511.42755    63.483     1.329
2459511.44029    79.495     1.350
2459511.45301    73.367     1.295
2459512.33955    53.849     1.281
2459512.35227    58.752     1.352
2459512.36499    57.232     1.237
2459512.37772    46.501     1.272
2459531.45579   -17.062     1.041
2459531.46851   -19.365     1.048
2459531.48124   -14.237     1.022
2459533.26569    57.905     1.120
2459533.27843    57.852     1.118
2459533.29116    50.713     1.147
2459533.30388    61.511     1.130
2459534.28656   -11.122     1.333
2459534.29931   -16.957     1.335
2459534.31206   -16.321     1.302
2459534.32481    -9.144     1.592
2459538.40318    12.952     1.730
2459538.41590    13.895     1.680
2459538.42862    12.237     1.800
2459542.19094    22.759     1.067
2459542.20366     6.603     1.173
2459542.21639    13.367     1.144
2459543.33705   -69.080     1.666
2459543.34977   -63.190     1.634
2459543.36249   -55.979     1.586
